,0
age,0.37355640390275846
odometer,0.2125192016224362
cylinders,0.17951381824572918
fuel,0.051760824483551716
drive,0.0401555698647245
manufacturer,0.03402154475865476
type,0.03191334149045688
transmission,0.022642822394640542
paint_color,0.01982057938745335
condition,0.01720957247150399
model,0.011796364774201836
title_status,0.005089956603888685
