,Year,Make,Weighted_Rating
0,1997,Acura,4.486151031365045
1,1997,Audi,4.289871551346122
2,1997,BMW,4.478876992228712
3,1997,Buick,4.269958226726351
4,1997,Cadillac,4.051648229569205
5,1997,Chevrolet,3.974421147561941
6,1997,Chrysler,4.195167424807668
7,1997,Dodge,3.990023387183343
8,1997,Ford,4.162674463699846
9,1997,GMC,4.097346587647742
10,1997,Honda,4.500789046070365
11,1997,INFINITI,4.433925293483358
12,1997,Jeep,4.2858366343142285
13,1997,Lexus,4.5466886929109
14,1997,Lincoln,4.455690580874691
15,1997,Mazda,4.195797646579704
16,1997,Mercedes,4.324979764161322
17,1997,Mercury,4.260095042842172
18,1997,Mitsubishi,4.381753548554462
19,1997,Nissan,4.307580763489715
20,1997,Pontiac,4.210231174689748
21,1997,Subaru,4.097060160675487
22,1997,Toyota,4.522519172531927
23,1997,Volkswagen,4.0564040920352955
24,1997,Volvo,4.259216017995422
25,1998,Acura,4.5030074663430275
26,1998,Audi,4.146056902885329
27,1998,BMW,4.522068418122967
28,1998,Buick,4.352857750677305
29,1998,Cadillac,4.124980794690144
30,1998,Chevrolet,4.086065508085507
31,1998,Chrysler,4.259864426293353
32,1998,Dodge,4.016546740217027
33,1998,Ford,4.153898512101396
34,1998,GMC,4.139426390216437
35,1998,Honda,4.428161250824276
36,1998,Isuzu,4.138605932005076
37,1998,Jeep,4.233621278738441
38,1998,Lexus,4.645815605355004
39,1998,Lincoln,4.47914571541955
40,1998,Mazda,4.135228900217504
41,1998,Mercedes,4.408074678604807
42,1998,Mercury,4.283848014554067
43,1998,Mitsubishi,4.23701598196295
44,1998,Nissan,4.398755189266842
45,1998,Pontiac,4.176421488679873
46,1998,Subaru,4.135829965508558
47,1998,Toyota,4.450995892262085
48,1998,Volkswagen,3.944547800697165
49,1998,Volvo,4.218843777346266
50,1999,Acura,4.516156823961786
51,1999,Audi,4.249985131373014
52,1999,BMW,4.50727255108304
53,1999,Buick,4.358240409165496
54,1999,Cadillac,4.18748271522113
55,1999,Chevrolet,4.10705394312126
56,1999,Chrysler,4.2095009039924705
57,1999,Dodge,4.042449054120403
58,1999,Ford,4.044422556943292
59,1999,GMC,4.113739971117893
60,1999,Honda,4.348856093914675
61,1999,Hyundai,4.1699792582653545
62,1999,INFINITI,4.486732035267608
63,1999,Isuzu,4.122356519550719
64,1999,Jeep,4.159273790462052
65,1999,Lexus,4.499557711140653
66,1999,Mazda,4.350606351867093
67,1999,Mercedes,4.4027008473567975
68,1999,Mercury,4.129923293823871
69,1999,Mitsubishi,4.354853376977793
70,1999,Nissan,4.449486680954358
71,1999,Pontiac,4.06222521628313
72,1999,Subaru,4.178044292461514
73,1999,Toyota,4.49492213695427
74,1999,Volkswagen,3.9512460565862937
75,1999,Volvo,4.080644769098212
76,2000,Acura,4.505833411289664
77,2000,Audi,4.332265353332503
78,2000,BMW,4.467430136099495
79,2000,Buick,4.323895007187264
80,2000,Cadillac,4.253497396197072
81,2000,Chevrolet,4.1135119869620596
82,2000,Chrysler,4.219658950130076
83,2000,Dodge,4.092884022849159
84,2000,Ford,4.075240116713715
85,2000,GMC,4.055918141196851
86,2000,Honda,4.410393362644914
87,2000,Hyundai,4.066304989238171
88,2000,INFINITI,4.434735861722297
89,2000,Isuzu,4.161699726853509
90,2000,Jaguar,4.249978280906131
91,2000,Jeep,4.245488675011046
92,2000,Kia,3.7826908955750977
93,2000,Lexus,4.498600928609118
94,2000,Lincoln,4.236467800239058
95,2000,Mazda,4.289794201348426
96,2000,Mercedes,4.188031454066872
97,2000,Mercury,4.23060396092744
98,2000,Mitsubishi,4.293938231138939
99,2000,Nissan,4.295698690208225
100,2000,Pontiac,4.133143975598954
101,2000,Subaru,4.193912969765724
102,2000,Toyota,4.509552988832821
103,2000,Volkswagen,4.004880543115589
104,2000,Volvo,4.039702738679873
105,2001,Acura,4.461032118301006
106,2001,Audi,4.358965494985195
107,2001,BMW,4.544123570523237
108,2001,Buick,4.212784642210103
109,2001,Cadillac,4.228693675340922
110,2001,Chevrolet,4.144512310012519
111,2001,Chrysler,4.116417813391751
112,2001,Dodge,4.171509592873887
113,2001,Ford,4.1114886547407075
114,2001,GMC,4.152211201389788
115,2001,Honda,4.2376209072578
116,2001,Hyundai,4.156828500319563
117,2001,INFINITI,4.389790766128298
118,2001,Isuzu,4.195735149306938
119,2001,Jeep,4.201731072253938
120,2001,Kia,3.759831683743393
121,2001,Lexus,4.583557653408133
122,2001,Lincoln,4.360072714004913
123,2001,Mazda,4.298015399087029
124,2001,Mercedes,4.223335420718311
125,2001,Mercury,4.229555843008058
126,2001,Mitsubishi,4.297818900594064
127,2001,Nissan,4.206668279645967
128,2001,Pontiac,4.160241703306142
129,2001,Subaru,4.108377103682066
130,2001,Suzuki,4.262865846004087
131,2001,Toyota,4.486146945227384
132,2001,Volkswagen,4.011255921648535
133,2001,Volvo,4.0222038505386495
134,2002,Acura,4.515316727938828
135,2002,Audi,4.462836203085077
136,2002,BMW,4.5308453051800495
137,2002,Buick,4.182710470608209
138,2002,Cadillac,4.324981562902538
139,2002,Chevrolet,4.226915540769811
140,2002,Chrysler,4.290011564531761
141,2002,Dodge,4.165298442277966
142,2002,Ford,4.246417659069802
143,2002,GMC,4.291103054782681
144,2002,Honda,4.142881067457367
145,2002,Hyundai,4.240659826430395
146,2002,INFINITI,4.441391846017608
147,2002,Isuzu,4.266775565869668
148,2002,Jaguar,4.348844780241232
149,2002,Jeep,4.025335145640108
150,2002,Kia,3.8915386563902383
151,2002,Land,3.7418297897959607
152,2002,Lexus,4.600405489964951
153,2002,Lincoln,4.431287620058878
154,2002,Mazda,4.409525003216092
155,2002,Mercedes,4.284001534510038
156,2002,Mercury,4.180002549859495
157,2002,Mitsubishi,4.383767769474619
158,2002,Nissan,4.249614342417407
159,2002,Pontiac,4.302962082481328
160,2002,Porsche,4.454396970458955
161,2002,Subaru,4.177738751030872
162,2002,Suzuki,4.260403370682919
163,2002,Toyota,4.487474609453895
164,2002,Volkswagen,4.069627515832977
165,2002,Volvo,4.274989497855875
166,2003,Acura,4.503930475044206
167,2003,Audi,4.3977190744131835
168,2003,BMW,4.5231042631078315
169,2003,Buick,4.140250335488683
170,2003,Cadillac,4.286562223964859
171,2003,Chevrolet,4.22437077594137
172,2003,Chrysler,4.189151201204975
173,2003,Dodge,4.345451774967609
174,2003,Ford,4.267527027239655
175,2003,GMC,4.260697755145762
176,2003,Honda,4.313300066563236
177,2003,Hyundai,4.357100293332826
178,2003,INFINITI,4.538619676877295
179,2003,Isuzu,4.29650473140595
180,2003,Jaguar,4.478166733283894
181,2003,Jeep,4.111669593309522
182,2003,Kia,4.060174942353262
183,2003,Land,3.921633520482141
184,2003,Lexus,4.626738226852437
185,2003,Lincoln,4.349516776341915
186,2003,Mazda,4.373413089626482
187,2003,Mercedes,4.478100077324957
188,2003,Mercury,4.455657673013006
189,2003,Mitsubishi,4.437704141305863
190,2003,Nissan,4.302060611003231
191,2003,Pontiac,4.305461864321209
192,2003,Porsche,4.549413884612437
193,2003,Subaru,4.361749685705659
194,2003,Suzuki,4.402635051878725
195,2003,Toyota,4.487527723734888
196,2003,Volkswagen,4.267179235387946
197,2003,Volvo,4.260721847608765
198,2004,Acura,4.5992309169409875
199,2004,Audi,4.5381766103747125
200,2004,BMW,4.527867102124583
201,2004,Buick,4.33009551595378
202,2004,Cadillac,4.487857452941469
203,2004,Chevrolet,4.328244649220126
204,2004,Chrysler,4.281242592237627
205,2004,Dodge,4.361327827583626
206,2004,Ford,4.293089102383012
207,2004,GMC,4.372455445854374
208,2004,Honda,4.426427836500728
209,2004,Hyundai,4.425759660023594
210,2004,INFINITI,4.483113212628319
211,2004,Isuzu,4.3614828716106615
212,2004,Jaguar,4.446363466429204
213,2004,Jeep,4.2530029367347275
214,2004,Kia,4.051386057134445
215,2004,Land,4.121631615529007
216,2004,Lexus,4.579537256231365
217,2004,Lincoln,4.387005934785483
218,2004,Mazda,4.43128048487291
219,2004,Mercedes,4.46677550177123
220,2004,Mercury,4.381566817699038
221,2004,Mitsubishi,4.442994457135688
222,2004,Nissan,4.177930662110136
223,2004,Pontiac,4.418742847677709
224,2004,Porsche,4.530872014104521
225,2004,Subaru,4.4110846107283885
226,2004,Suzuki,4.305417671254205
227,2004,Toyota,4.511854428184246
228,2004,Volkswagen,4.279619481679851
229,2004,Volvo,4.4187636020408325
230,2005,Acura,4.594226939161912
231,2005,Audi,4.57019176024107
232,2005,BMW,4.516371764537757
233,2005,Buick,4.256871219387778
234,2005,Cadillac,4.329449324909053
235,2005,Chevrolet,4.194697594187708
236,2005,Chrysler,4.326824380736286
237,2005,Dodge,4.198139722205682
238,2005,Ford,4.29292988880652
239,2005,GMC,4.3964917033061415
240,2005,Honda,4.393001013872704
241,2005,Hyundai,4.3827335164908225
242,2005,INFINITI,4.431863386017204
243,2005,Jaguar,4.614638581632685
244,2005,Jeep,3.95151650222133
245,2005,Kia,4.251673700257262
246,2005,Land,4.0611525602258345
247,2005,Lexus,4.557241703306142
248,2005,Lincoln,4.34280809126426
249,2005,MINI,4.481566302022639
250,2005,Mazda,4.437689422653716
251,2005,Mercedes,4.529281549239006
252,2005,Mercury,4.403677190308937
253,2005,Mitsubishi,4.55653019964076
254,2005,Nissan,4.153532538198118
255,2005,Pontiac,4.387475188752714
256,2005,Porsche,4.508983406612284
257,2005,Subaru,4.416025129700628
258,2005,Suzuki,4.189056609688088
259,2005,Toyota,4.504793439488159
260,2005,Volkswagen,4.344487874483737
261,2005,Volvo,4.420925404925845
262,2006,Acura,4.602473992009322
263,2006,Audi,4.53323264099576
264,2006,BMW,4.49270836143109
265,2006,Buick,4.286912877108593
266,2006,Cadillac,4.4437123340567215
267,2006,Chevrolet,4.089953650038345
268,2006,Chrysler,4.1176251932567896
269,2006,Dodge,4.287717217631098
270,2006,Ford,4.183743676263467
271,2006,GMC,4.2061611330886315
272,2006,HUMMER,4.360458846732682
273,2006,Honda,4.453050282122277
274,2006,Hyundai,4.329680092237626
275,2006,INFINITI,4.53015511585495
276,2006,Jaguar,4.567287748332072
277,2006,Jeep,3.961065447222964
278,2006,Kia,4.305262782934833
279,2006,Land,4.29920157370408
280,2006,Lexus,4.538863914325812
281,2006,Lincoln,4.421080786415847
282,2006,MINI,4.459886092703165
283,2006,Mazda,4.448674269286028
284,2006,Mercedes,4.421725035208813
285,2006,Mercury,4.428647126266357
286,2006,Mitsubishi,4.547576009793756
287,2006,Nissan,4.245142551577199
288,2006,Pontiac,4.308442554004236
289,2006,Porsche,4.5419525330435775
290,2006,Subaru,4.435803803468025
291,2006,Suzuki,4.104253114407998
292,2006,Toyota,4.458167202230704
293,2006,Volkswagen,4.152993362644914
294,2006,Volvo,4.46975345929389
295,2007,Acura,4.559833070306864
296,2007,Audi,4.4717652723721955
297,2007,BMW,4.334984828612058
298,2007,Buick,4.290292940771996
299,2007,Cadillac,4.326304872771239
300,2007,Chevrolet,4.182263565157835
301,2007,Chrysler,4.128529908779379
302,2007,Dodge,4.131522111293043
303,2007,Ford,4.354400041926194
304,2007,GMC,4.231179904263506
305,2007,Honda,4.285670528708091
306,2007,Hyundai,4.262074021923068
307,2007,INFINITI,4.465371851240218
308,2007,Jeep,3.79872485702353
309,2007,Kia,4.3466465644109125
310,2007,Lexus,4.524992847677709
311,2007,Lincoln,4.450152331073325
312,2007,Mazda,4.3614297412816905
313,2007,Mercedes,4.492181018207924
314,2007,Mercury,4.454329261181103
315,2007,Mitsubishi,4.523112202823246
316,2007,Nissan,4.281779756039605
317,2007,Pontiac,4.317034345420538
318,2007,Porsche,4.559594111041389
319,2007,Subaru,4.314749040127882
320,2007,Suzuki,3.836593837787155
321,2007,Toyota,4.373938497990876
322,2007,Volkswagen,4.352381999407971
323,2007,Volvo,4.429988937741523
324,2008,Acura,4.538706177435366
325,2008,Audi,4.5698418493397615
