Company,Model,Year,Rating
audi,q7,2015,3.9523809523809526
audi,q7,2017,3.727272727272727
audi,q7,2018,3.967741935483871
audi,q7,2019,4.083333333333333
audi,q7,2020,4.25
audi,q8,2019,4.388888888888889
audi,q8,2020,5.0
audi,r8,2008,4.777777777777778
audi,r8,2009,4.5
audi,r8,2010,4.0
audi,r8,2011,4.333333333333333
audi,r8,2014,4.0
audi,r8,2015,5.0
audi,r8,2017,5.0
audi,rs-3,2017,5.0
audi,rs-3,2018,4.857142857142857
audi,rs-3,2019,5.0
audi,rs-3,2020,5.0
audi,rs-4,2007,4.444444444444445
audi,rs-4,2008,4.076923076923077
audi,rs-5,2013,4.6
audi,rs-5,2014,5.0
audi,rs-5,2018,3.0
audi,rs-5,2019,4.8
audi,rs-6,2003,4.117647058823529
audi,rs-7,2014,5.0
audi,rs-7,2016,5.0
audi,s3,2015,4.785714285714286
audi,s3,2016,4.714285714285714
audi,s3,2017,5.0
audi,s3,2018,5.0
audi,s3,2019,5.0
audi,s4,2000,4.111111111111111
audi,s4,2001,4.075
audi,s4,2002,4.162162162162162
audi,s4,2004,4.043478260869565
audi,s4,2005,4.0777777777777775
audi,s4,2006,4.190476190476191
audi,s4,2007,4.0
audi,s4,2008,4.0
audi,s4,2010,4.588235294117647
audi,s4,2011,4.5
audi,s4,2012,4.333333333333333
audi,s4,2013,4.625
audi,s4,2014,4.166666666666667
audi,s4,2015,4.75
audi,s4,2016,5.0
audi,s4,2018,4.444444444444445
audi,s4,2019,4.0
audi,s4,2020,3.0
audi,s5,2008,4.071428571428571
audi,s5,2009,4.2
audi,s5,2010,4.466666666666667
audi,s5,2011,4.3
audi,s5,2012,4.2
audi,s5,2013,4.666666666666667
audi,s5,2015,3.8
audi,s5,2016,4.818181818181818
audi,s5,2018,4.16
audi,s5,2019,5.0
audi,s6,2002,4.086956521739131
audi,s6,2003,3.875
audi,s6,2007,4.0
audi,s6,2008,4.4
audi,s6,2010,4.0
audi,s6,2011,4.0
audi,s6,2013,4.0
audi,s6,2016,4.9
audi,s6,2017,4.6
audi,s6,2018,5.0
audi,s6,2020,5.0
audi,s7,2013,4.5
audi,s7,2014,4.5
audi,s7,2016,5.0
audi,s7,2017,5.0
audi,s7,2018,5.0
audi,s7,2020,5.0
audi,s8,2001,4.235294117647059
audi,s8,2002,4.083333333333333
audi,s8,2003,4.0
audi,s8,2007,4.0625
audi,s8,2008,4.0
audi,s8,2009,4.0
audi,s8,2013,5.0
audi,s8,2014,5.0
audi,sq5,2014,4.2
audi,sq5,2015,3.75
audi,sq5,2016,5.0
audi,sq5,2017,4.75
audi,sq5,2018,4.368421052631579
audi,sq5,2019,5.0
audi,sq5,2020,5.0
audi,sq8,2020,5.0
audi,tt,2000,4.166666666666667
audi,tt,2001,4.121739130434783
audi,tt,2002,4.292134831460674
audi,tt,2003,4.275862068965517
audi,tt,2004,4.377551020408164
audi,tt,2005,4.533333333333333
audi,tt,2006,4.555555555555555
audi,tt,2008,4.487179487179487
audi,tt,2009,4.875
audi,tt,2010,4.75
